Spell Name,Level,School,Ritual,Casting Time,Range,Target/Area,V,S,M,Component(s),Cost,Concentration,Duration,Attack/Saving Throw (Effect),Damage Type,Damage/Heal,Sourcebook,Page #,Additional Detail,Per Higher Spell Level,Bard,Cleric,Druid,Paladin,Ranger,Sorceror,Warlock,Wizard
Enlarge/Reduce,2,Transmutation,,1 action,30 ft.,1 creature or object,V,S,M,powdered iron,,Concentration,1 minute,CON (Fail),,,PHB,237,Enlarge or reduce target.  See Sourcebook.,,,,,,,Sorceror,,Wizard
Ensnaring Strike,1,Conjuration,,1 bonus action,Self,Attack target,V,,,,,Concentration,1 minute,STR (Fail),Piercing,DAM: 1d6 a turn,PHB,237,Restrain target. Large and bigger creatures have advantage to save.,Extra 1d6 DAM.,,,,Paladin(Ancients),Ranger,,,
Entangle,1,Conjuration,,1 action,90 ft.,20 ft. square,V,S,,,,Concentration,1 minute,STR (Fail),,,PHB,238,Creatures become restrained.Use action to use STR against spell DC to escape.,,,,Druid,,,,,
Enthrall,2,Enchantment,,1 action,60 ft.,Any targets in range,V,S,,,,,1 minute,WIS (Fail),,,PHB,238,Disadvantage to see anybody but you; attacked ones have advantage to save.,,Bard,,,,,,Warlock,
Etherealness,7,Transmutation,,1 action,Self,Self,V,S,,,,,Up to 8 hours,,,,PHB,238,Become ethereal.  Move up/down at half speed.  Can't see past 60 ft.,8th:3 targets;9th: 6 targets,Bard,Cleric,,,,Sorceror,Warlock,Wizard
Evard's Black Tentacles,4,Conjuration,,1 action,90 ft.,20 ft. square,V,S,M,piece of octopus temtacle,,Concentration,1 minute,DEX while in area (Fail),Bludgeoning,DAM: 3d6,PHB,238,Also restrained. Restrained take DAM every turn. STR/DEX check to get free.,,,,,,,,,Wizard
Expeditious Retreat,1,Transmutation,,1 bonus action,Self,Self,V,S,,,,Concentration,10 minutes,,,,PHB,238,You can take Dash as a bonus action until spell ends.,,,,,,,Sorceror,Warlock,Wizard
Eyebite,6,Necromancy,,1 action,Self,1 creature within 60 ft.,V,S,,,,Concentration,1 minute,WIS (Fail),,,PHB,238,Affect targets negatively.  New target each turn.  See Sourcebook.,,Bard,,,,,Sorceror,Warlock,Wizard
Fabricate,4,Transmutation,,10 minutes,120 ft.,10 ft. cube,V,S,,,,,Instantaneous,,,,PHB,239,Convert raw materials into object no bigger than 5 ft. cube.,,,,,,,,,Wizard
Faerie Fire,1,Evocation,,1 action,60 ft.,20 ft. cube,V,,,,,Concentration,1 minute,DEX (No Light),,,PHB,239,Objects/creatures in cube are outlined in light and are attacked with advantage.,,Bard,Cleric(Light),Druid,,,,,
False Life,1,Necromancy,,1 action,Self,Self,V,S,M,alcohol or distilled spirits,,,1 hour,,,,PHB,239,You gain 1d4+4 temp HP.,Extra 5 temp HP.,,Cleric(Death),,,,Sorceror,,Wizard
Fear,3,Illusion,,1 action,Self,30 ft. cone,V,S,M,white feather or hen heart,,Concentration,1 minute,WIS (Fail),,,PHB,239,Targets drop everything and use Dash to run away. WIS save once out of sight.,,Bard,,,,,Sorceror,Warlock,Wizard
Feather Fall,1,Transmutation,,1 reaction (falling),60 ft.,<= 5 falling creatures,V,,M,small feather or piece of down,,,1 minute,,,,PHB,239,"Targets' descent slows to 60 ft. per round, takes no DAM, and can land on feet.",,Bard,,,,,Sorceror,,Wizard
Feeblemind,8,Enchantment,,1 action,150 ft.,1 creature,V,S,M,"clay,crystal,or mineral spheres",,,Instantaneous,"INT (DMG, but no INT effect)",Psychic,DAM: 4d6,PHB,239,Creature INT and CHA scores become 1.  See Sourcebook.,,Bard,,Druid,,,,Warlock,Wizard
Feign Death,3,Necromancy,Ritual,1 action,Touch,1 willing creature,V,S,M,pinch of graveyard dirt,,,1 hour,,,,PHB,240,Creature appears dead.  Resists all non-psychic DMG. Disease/poison delayed.,,Bard,Cleric,Druid,,,,,Wizard
Find Familiar,1,Conjuration,Ritual,1 hour,10 ft.,,V,S,M,"CHARCOAL,INCENSE,HERBS",10 gp,,Instantaneous,,,,PHB,240,Gain the service of a familiar.  See Sourcebook.,,,,,,,,,Wizard
Find Steed,2,Conjuration,,10 minutes,30 ft.,,V,S,,,,,Instantaneous,,,,PHB,240,Summons a spirit in the form of a steed.  See Sourcebook.,,,,,Paladin,,,,
Find the Path,6,Divination,,1 minute,Self,,V,S,M,"diviner tools,object from target",100 gp,Concentration,1 day,,,,PHB,240,"Find the shortest, most direct route to a place you are familiar with.",,Bard,Cleric,Druid,,,,,
Find Traps,2,Divination,,1 action,120 ft.,Any trap in range,V,S,,,,,Instantaneous,,,,PHB,241,Sense the presence (not location) of any magical or mundane trap nearby.,,,Cleric,Druid,,Ranger,,,
Finger of Death,7,Necromancy,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,CON (Half DAM),Necrotic,DAM: 7d8+30,PHB,241,Humanoids killed rise as a zombie next turn permanently under your control.,,,,,,,Sorceror,Warlock,Wizard
Fire Bolt,0,Evocation,,1 action,120 ft.,1 creature/object,V,S,,,,,Instantaneous,Ranged Spell Attack,Fire,DAM: 1d10,PHB,242,"DAM at 5th level: 2d10, at 11th level: 3d10, at 17th level: 4d10.",,,,,,,Sorceror,,Wizard
Fire Shield,4,Evocation,,1 action,Self,Self,V,S,M,bit of phosphorous or a firefly,,,10 minutes,,Fire/Cold,DAM: 2d8,PHB,242,Choose warm or chill shield. Melee attackers take DMG. Light out 10 ft./20 ft.,,,,,,,,,Wizard
Fire Storm,7,Evocation,,1 action,150 ft.,<= ten 10 ft. cubes,V,S,,,,,Instantaneous,DEX (Half DAM),Fire,DAM: 7d10,PHB,242,Each cube must face at least one other cube. Can choose not to affect plants.,,,Cleric,Druid,,,,,
Fireball,3,Evocation,,1 action,150 ft.,20 ft. radius sphere,V,S,M,tiny ball of guano and sulfur,,,Instantaneous,DEX (Half DAM),Fire,DAM: 8d6,PHB,241,Fire spreads around corners and ignites flammable objects.,Extra 1d6 DAM.,,Cleric(Light),,,,Sorceror,,Wizard
Flame Blade,2,Evocation,,1 bonus action,Self,,V,S,M,sumac leaf,,Concentration,10 minutes,Melee Spell Attack,Fire,DAM: 3d6,PHB,242,Create fiery scimitar that sheds bright light 10ft. and dim light for another 10ft.,Extra 1d6 DAM per 2 levels.,,,Druid,,,,,
Flame Strike,5,Evocation,,1 action,60 ft.,40 ft. high 10 ft. rad. cylinder,V,M,M,pinch of sulfur,,,Instantaneous,DEX (Half DAM),Fire + Radiant,DAM: 4d6+4d6,PHB,242,Creatures take fire and radiant damage.,1d6 DAM fire OR radiant,,Cleric,,Paladin(Devotion),,,,
Flaming Sphere,2,Conjuration,,1 action,60 ft.,5 ft. diameter sphere,V,S,M,"tallow,brimstone,iron powder",,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 2d6,PHB,242,Creatures next to spheres at end of turn take DAM. Move spheres 30 ft.,Extra 1d6 DAM.,,Cleric(Light),Druid,,,,,Wizard
Flesh to Stone,6,Transmutation,,1 action,60 ft.,1 creature,V,S,M,"pinch of lime, water, and earth",,Concentration,1 minute,CON (Fail),,,PHB,243,Restrained on first fail. Petrified after 3 fails.,,,,,,,,Warlock,Wizard
Fly,3,Transmutation,,1 action,Touch,1 willing creature,V,S,M,bird's wing feather,,Concentration,10 minutes,,,,PHB,243,Target gains fly (60 ft.).  Fall if spell ends while in air.,One additional creature.,,,,,,Sorceror,Warlock,Wizard
Fog Cloud,1,Conjuration,,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,1 hour,,,,PHB,243,Creates a foggy sphere.  Can be banished by moderate wind.,Increase radius by 20 ft.,,Cleric(Tempest),Druid,,Ranger,Sorceror,,Wizard
Forbiddance,6,Abjuration,Ritual,10 minutes,Touch,"40,000 sq. ft, 30 ft. high",V,S,M,"holy water,incense,ruby powder",1000 gp,,1 day,,Radiant or Necrotic,DAM: 5d10,PHB,243,Can't teleport/gate into area. A creature type you choose takes DMG in area.,,,Cleric,,,,,,
Forcecage,7,Evocation,,1 action,100 ft.,20 ft. square or 10 ft. cube,V,S,M,ruby dust,1500 gp,,1 hour,See Details.,,,PHB,243,Creatures stuck in cage can only leave using magic after CHA save.,,Bard,,,,,,Warlock,Wizard
Foresight,9,Divination,,1 minute,Touch,1 willing creature,V,S,M,hummingbird feather,,,8 hours,,,,PHB,244,"Not surprised. Advantage:attacks,checks,saves. Disadvantage getting attacked.",,Bard,,Druid,,,,Warlock,Wizard
Freedom of Movement,4,Abjuration,,1 action,Touch,1 willing creature,V,S,M,leather strap around arm,,,1 hour,,,,PHB,244,"Immune to difficult terrain,slow,paralyze,restrain. Spend 5ft to escape restrain.",,Bard,Cleric,Druid,Paladin(Devotion),Ranger,,,
Friends,0,Enchantment,,1 action,Self,1 non-hostile creature,,S,M,makeup applied to face,,Concentration,1 minute,,,,PHB,244,"Advantage on CHA checks to target, who knows magic used once spell ends.",,Bard,,,,,Sorceror,Warlock,Wizard
Gaseous Form,3,Transmutation,,1 action,Touch,1 willing creature,V,S,M,bit of gauze and wisp of smoke,,Concentration,1 hour,,,,PHB,244,Cloud form. Fly(10ft.). Resist nonmagical DMG. STR/DEX/CON save advantage.,,,,Druid(Underdark),,,Sorceror,Warlock,Wizard
Gate,9,Conjuration,,1 action,60 ft.,5-20 ft. diameter gate,V,S,M,diamond,5000 gp,Concentration,1 minute,,,,PHB,244,Create portal to precise location on another plane or near a specific person.,,,Cleric,,,,Sorceror,,Wizard
Geas,5,Enchantment,,1 minute,60 ft.,1 creature,V,,,,,,30 days,WIS (Fail),See Details.,See Details.,PHB,244,Target must perform task you set. 5d10 psychic DAM whenever it disobeys.,7th: lasts 1 year;9th: forever,Bard,Cleric,Druid,Paladin,,,,Wizard
Gentle Repose,2,Necromancy,Ritual,1 action,Touch,1 corpse,V,S,M,salt and 1 cp on each eye,,,10 days,,,,PHB,245,Preserves corpse.  Extends time limit of Raise Dead spell.,,,Cleric,,,,,,Wizard
Giant Insect,4,Transmutation,,1 action,30 ft.,See Sourcebook.,V,S,,,,Concentration,10 minutes,,,,PHB,245,Turn insects into giant insects that obey your commands.,,,,Druid,,,,,
Glibness,8,Transmutation,,1 action,Self,Self,V,,,,,,1 hour,,,,PHB,245,Can replace CHA check rolls with a 15. Spells always detect you telling truth.,,Bard,,,,,,Warlock,
Globe of Invulnerability,6,Abjuration,,1 action,Self,10 ft. radius sphere,V,S,M,glass or crystal bead,,Concentration,1 minute,,,,PHB,245,Spells <= 5th level cannot affect those within the globe.,1 higher spell level blocked.,,,,,,Sorceror,,Wizard
Glyph of Warding,3,Abjuration,,1 hour,Touch,See Sourcebook.,V,S,M,"incense, DIAMOND POWDER",200 gp,,Dispel/Triggered,,,,PHB,245,Create a magical trap.  See Sourcebook.,See Sourcebook.,Bard,Cleric,,,,,,Wizard
Goodberry,1,Transmutation,,1 action,Touch,,V,S,M,sprig of mistletoe,,,Instantaneous,,,,PHB,246,Create <= 10 berries that HEAL 1 HP each. Expire after 24 hours.,,,,Druid,,Ranger,,,
Grasping Vine,4,Conjuration,,1 bonus action,30 ft.,,V,S,,,,Concentration,1 minute,DEX (Fail),,,PHB,246,Create vine that lashes out 30 ft. away. Targets failing save pulled 20 ft. to vine.,,,Cleric(Nature),Druid,,Ranger,,,
Grease,1,Conjuration,,1 action,60 ft.,10 ft. square,V,S,M,pork rind or butter,,,1 minute,DEX (Fail),,,PHB,246,Creatures in area or entering area fall prone if they fail DEX save.,,,,,,,,,Wizard
Greater Invisibility,4,Illusion,,1 action,Touch,Self or willing creature,V,S,,,,Concentration,1 minute,,,,PHB,246,Become invisible until spell ends.,,Bard,,Druid(Underdark),,,Sorceror,,Wizard
Greater Restoration,5,Abjuration,,1 action,Touch,1 creature,V,S,M,DIAMOND DUST,100 gp,,Instantaneous,,,,PHB,246,End a debilitating effect on target.  See Sourcebook.,,Bard,Cleric,Druid,,,,,
Guardian of Faith,4,Conjuration,,1 action,30 ft.,,V,,,,,,8 hours,DEX (No DAM),Radiant,DAM: 20,PHB,246,Create spectral guardian that attacks hostiles. Leaves after dealing 60 DAM.,,,Cleric,,Paladin(Devotion),,,,
Guards and Wards,6,Abjuration,,10 minutes,Touch,See Sourcebook.,V,S,M,See sourcebook.,10 gp,,24 hours,,,,PHB,248,Protect an area of space.  See Sourcebook.,,Bard,,,,,,,Wizard
Guidance,0,Divination,,1 action,Touch,1 willing creature,V,S,,,,Concentration,1 minute,,,,PHB,248,"Once, add 1d4 to an ability check.",,,Cleric,Druid,,,,,
Guiding Bolt,1,Evocation,,1 action,120 ft.,1 creature,V,S,,,,,1 round,Ranged Spell Attack,Radiant,DAM: 4d6,PHB,248,Next attack roll against target before end of your next turn has advantage.,Extra 1d6 DAM.,,Cleric,,,,,,
Gust of Wind,2,Evocation,,1 action,Self,60 ft. line 10 ft. wide,V,S,M,a legume seed,,Concentration,1 minute,STR (Fail),,,PHB,248,Push targets 15 ft. in directon of wind. Creatures move half speed against wind.,,,Cleric(Tempest),Druid,,,Sorceror,,Wizard
Hail of Thorns,1,Conjuration,,1 bonus action,Self,Self,V,,,,,Concentration,1 minute,DEX (Half DAM),Piercing,DAM: 1d10,PHB,249,Target hit by ranged attack and those adjacent who fail save hit by thorns.,Extra 1d10 DAM.,,,,,Ranger,,,
Hallow,5,Evocation,,24 hours,Touch,60 ft. radius,V,S,M,"HERBS, OIL, INCENSE",1000 gp,,Until Dispelled,,,,PHB,249,Infuse area with holy or unholy power.  See Sourcebook.,,,Cleric,,,,,,
Hallucinatory Terrain,4,Illusion,,10 minutes,300 ft.,150 ft. cube,V,S,M,"stone, twig, bit of green plant",,,24 hours,,,,PHB,249,Make natural terrain seem like other terrain. Investigation check to disbelieve.,,Bard,,Druid,,,,Warlock,Wizard
Harm,6,Necromancy,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,CON (Half DAM),Necrotic,DAM: 14d6,PHB,249,Max HP reduced by same amount as DAM. Target cannot fall below 1 HP.,,,Cleric,,,,,,
Haste,3,Transmutation,,1 action,30 ft.,1 willing creature,V,S,M,shaving of licorice root,,Concentration,1 minute,,,,PHB,250,Doubles speed. +2 AC. Advantage on DEX saves. Additional action to Dash.,,,,Druid(Grassland),Paladin(Vengeance),,Sorceror,,Wizard
Heal,6,Evocation,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,,,HEAL: 70,PHB,250,"Ends blindness, deafness, any diseases. No effect on constructs/undead.",Extra 10 HEAL.,,Cleric,Druid,,,,,
Healing Word,1,Evocation,,1 bonus action,60 ft.,1 creature,V,,,,,,Instantaneous,,,,PHB,250,Target HEAL 1d4 + spellcasting ability. No effect on constructs/undead.,Extra 1d4 HEAL.,Bard,Cleric,Druid,,,,,
Heat Metal,2,Transmutation,,1 action,60 ft.,1 metal object,V,S,M,piece of iron and a flame,,Concentration,1 minute,See Sourcebook.,Fire,DAM: 2d8,PHB,250,Heat metallic objects including weapons and armor.  See Sourcebook.,Extra 1d8 DAM.,Bard,,Druid,,,,,
Hellish Rebuke,1,Evocation,,1 reaction (take DAM),60 ft.,1 creature that damaged you,V,S,,,,,Instantaneous,DEX (Half DAM),Fire,DAM: 2d10,PHB,250,Magical counterattack to taking damage.,Extra 1d10 DAM.,,,,Paladin(Oathbreaker),,,Warlock,
Heroes' Feast,6,Conjuration,,10 minutes,30 ft.,<= 12 feast goers,V,S,M,GEM--ENCRUSTED BOWL,1000 gp,,Instantaneous,,,,PHB,250,"Cure:disease,poison.Immune:poison,fright.HP max +2d10,WIS save advantage.",,,Cleric,Druid,,,,,
Heroism,1,Enchantment,,1 action,Touch,1 willing creature,V,S,,,,Concentration,1 minute,,,,PHB,250,Immune to being frightened. Temp HP equal to casting ability modifier each turn.,1 additional creature.,Bard,,,Paladin,,,,
Hex,1,Enchantment,,1 bonus action,90 ft.,1 creature,V,S,M,petrified eye of a newt,,Concentration,1 hour,,,,PHB,251,Target takes 1d6 necrotic DAM when you hit it;disadvantage on ability of choice.,3rd: duration 8 hrs;5th 24 hrs,,,,,,,Warlock,
Hold Monster,5,Enchantment,,1 action,90 ft.,1 creature,V,S,M,small straight piece of iron,,Concentration,1 minute,WIS (Fail),,,PHB,251,Target is paralyzed. New saving throw at end of turn. Doesn't work on undead.,1 additional creature.,Bard,Cleric(War),,Paladin(Vengeance),,Sorceror,Warlock,Wizard
Hold Person,2,Enchantment,,1 action,60 ft.,1 humanoid,V,S,M,small straight piece of iron,,Concentration,1 minute,WIS (Fail),,,PHB,251,Target is paralyzed. New saving throw at end of turn.,1 additional creature.,Bard,Cleric,Druid,Paladin(Vengeance),,Sorceror,Warlock,Wizard
Holy Aura,8,Abjuration,,1 action,Self,30 ft. radius sphere,V,S,M,reliquary containing sacred relic,1000 gp,Concentration,1 minute,,,,PHB,251,Aura helps allies and hurts enemies.  See Sourcebook.,,,Cleric,,,,,,
Hunger of Hadar,3,Conjuration,,1 action,150 ft.,20 ft. radius sphere,V,S,M,pickled octopus tentacle,,Concentration,1 minute,,,,PHB,251,Start turn in area: 2d6 cold DAM.End turn in area: DEX save or 2d6 acid DAM.,,,,,,,,Warlock,
Hunter's Mark,1,Divination,,1 bonus action,90 ft.,1 creature,V,,,,,Concentration,1 hour,,,,PHB,251,Mark quarry. Extra 1d6 DAM on weapon hit. Advantage on rolls to find it.,3rd: duration 8hrs;5th: 24hrs,,,,Paladin(Vengeance),Ranger,,,
Hypnotic Pattern,3,Illusion,,1 action,120 ft.,30 ft. cube,,S,M,glowing stick of incense,,Concentration,1 minute,WIS (Fail),,,PHB,252,"Creatures charmed, incapacitated, speed = 0. Spell ends on DAM or shaking.",,Bard,,,,,Sorceror,Warlock,Wizard
Ice Storm,4,Evocation,,1 action,300 ft.,"20 ft. rad, 40ft. high cylinder",V,S,M,"pinch of dust, drop of water",,,Instantaneous,DEX (Half DAM),Bludgeoning+Cold,DAM: 2d8+4d6,PHB,252,Storm's area of effect becomes difficult terrain until end of next turn.,Extra 1d8 bludgeoning DAM.,,Cleric(Tempest),Druid,Paladin(Ancients),,Sorceror,,Wizard
Identify,1,Divination,Ritual,1 minute,Touch,1 object,V,S,M,"pearl, owl feather",100 gp,,Instantaneous,,,,PHB,252,Learn what an item is and what spells affect it.,,Bard,Cleric(Knowledge),,,,,,Wizard
Illusory Script,1,Illusion,Ritual,1 minute,Touch,writing surface,,S,M,LEAD-BASED INK,10 gp,,10 days,,,,PHB,252,Write magical script on surface that only designated people can read.,,Bard,,,,,,Warlock,Wizard
Imprisonment,9,Abjuration,,1 minute,30 ft.,1 creature,V,S,M,See Sourcebook.,Source.,,Until Dispelled,WIS (Fail),,,PHB,252,Magically restrain a creature.  See sourcebook.,,,,,,,,Warlock,Wizard
Incendiary Cloud,8,Conjuration,,1 action,150 ft.,20 ft. radius sphere,V,S,,,,Concentration,1 minute,DEX every turn (Half DMG),Fire,DAM: 10d8,PHB,253,Targets make save when cloud created or entering or exiting it. Cloud move: 10ft.,,,,,,,Sorceror,,Wizard
Inflict Wounds,1,Necromancy,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,Melee Spell Attack,Necrotic,DAM: 3d10,PHB,253,Inflict necrotic damage on target.,Extra 1d10 DAM.,,Cleric,,Paladin(Oathbreaker),,,,
Insect Plague,5,Conjuration,,1 action,300 ft.,20 ft. radius sphere,V,S,M,"bit of sugar, grain, and fat",,Concentration,10 minutes,CON (Half DAM),Piercing,DAM: 4d10,PHB,254,Targets make save when swarm created or entering or exiting it.,Extra 1d10 DAM.,,Cleric,Druid,,,Sorceror,,
Invisibility,2,Illusion,,1 action,Touch,1 creature,V,S,M,eyelash in gum arabic,,Concentration,1 hour,,,,PHB,254,Target becomes invisible. Ends if target attacks or casts a spell.,One additional creature.,Bard,,Druid(Grassland),,,Sorceror,Warlock,Wizard
Jump,1,Transmutation,,1 action,Touch,1 creature,V,S,M,grasshopper's hind leg,,,1 minute,,,,PHB,254,Target's jump distance tripled until spell ends.,,,,Druid,,Ranger,Sorceror,,Wizard
Knock,2,Transmutation,,1 action,60 ft.,1 openable object,V,,,,,,Instantaneous,,,,PHB,254,Open mundane lock or suppress an Arcane Lock for 10 minutes. Loud knock.,,Bard,,,,,Sorceror,,Wizard
Legend Lore,5,Divination,,10 minutes,Self,"1 person, place, or object",V,S,M,"INCENSE(250),4 ivory strips(50)",300 gp,,Instantaneous,,,,PHB,254,Learn lore about target. Information is accurate but might use figurative words.,,Bard,Cleric,,,,,,Wizard
Leomund's Secret Chest,4,Conjuration,,1 action,Touch,1 chest,V,S,M,"chest(5000), replica chest(50)",5050 gp,,Instantaneous,,,,PHB,254,Transport chest back and forth from Ethereal Plane using replica.,,,,,,,,,Wizard
Leomund's Tiny Hut,3,Evocation,Ritual,1 minute,Self,10 ft. radius hemisphere,V,S,M,small crystal bead,,,8 hours,,,,PHB,255,"Protect <= 9 creatures in hut from spells, creatures, elements.",,Bard,,,,,,,Wizard
Lesser Restoration,2,Abjuration,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,,PHB,255,"End one disease or condition (blind, deaf, paralyzed, poisoned) on target.",,Bard,Cleric,Druid,Paladin,Ranger,,,
Levitate,2,Transmutation,,1 action,60 ft.,1 creature or object,V,S,M,small leather loop or golden wire,,Concentration,10 minutes,CON (Fail),,,PHB,255,Target <= 500 lbs. floats 20 ft.Can move up/down 20ft./turn. Floats down on end.,,,,,,,Sorceror,,Wizard
Light,0,Evocation,,1 action,Touch,1 object <= 10 ft. cube,V,,M,firefly or phosphorescent moss,,,1 hour,DEX (Fail),,,PHB,255,Object sheds light in 20 ft. radious. Hostile targets get DEX save.,,Bard,Cleric,,,,,,Wizard
Lightning Arrow,3,Transmutation,,1 bonus action,Self,1 target,V,S,,,,Concentration,1 minute,Ranged Weapon Attack.,Lightning,DAM: 4d8,PHB,255,Creatures within 10 ft. of initial target also take 2d8 DAM (DEX save for half).,Both effects add 1d8 DAM.,,,,,Ranger,Sorceror,,
Lightning Bolt,3,Evocation,,1 action,Self,100 ft. line,V,S,M,bit of fur and glass rod,,,Instantaneous,DEX (Half DAM),LIghtning,DAM: 8d6,PHB,255,Lightning ignites flammable objects.,Extra 1d6 DAM.,,,Druid(Mountain),,,Sorceror,,Wizard
Locate Animals or Plants,2,Divination,Ritual,1 action,Self,Kind of beast or plant,V,S,M,bloodhound fur,,,Instantaneous,,,,PHB,256,Name a kind of beast or plant and find the nearest one within 5 miles.,,Bard,,Druid,,Ranger,,,
Locate Creature,4,Divination,,1 action,Self,1 creature familiar to you,V,S,M,bloodhound fur,,,Instantaneous,,,,PHB,256,Sense creature direction within 1000 ft. or locate it within 30 ft.,,Bard,Cleric,Druid,Paladin,Ranger,,,Wizard
Locate Object,2,Divination,,1 action,Self,1 object familiar to you,V,S,M,forked twig,,Concentration,10 minutes,,,,PHB,256,Sense object direction within 1000 ft. or locate it within 30 ft.,,Bard,Cleric,Druid,Paladin,Ranger,,,Wizard
Longstrider,1,Transmutation,,1 action,Touch,1 creature,V,S,M,pinch of dirt,,,1 hour,,,,PHB,256,Target's speed increases by 10 ft.,One additional creature.,Bard,,Druid,,Ranger,,,Wizard
Mage Armor,1,Abjuration,,1 action,Touch,1 willing creature,V,S,M,piece of cured leather,,,8 hours,,,,PHB,256,"If target isn't wearing armor, its base AC becomes 13 + DEX modifier.",,,,,,,Sorceror,,Wizard
Mage Hand,0,Conjuration,,1 action,30 ft.,,V,S,,,,,1 minute,,,,PHB,256,Create spectral hand that manipulates objects. Can pick up <= 10 lbs.,,Bard,,,,,Sorceror,Warlock,Wizard
Magic Circle,3,Abjuration,,1 minute,10 ft.,"10 ft. rad., 20 ft. high cylinder",V,S,M,HOLY WATER or Fe/Ag DUST,100 gp,,1 hour,,,,PHB,256,Hinder one creature type within cylinder.  See Sourcebook.,Duration increases 1 hour.,,Cleric,,Paladin,,,Warlock,Wizard
Magic Jar,6,Necromancy,,1 minute,Self,,V,S,M,ornamental container,500 gp,,Until Dispelled,,,,PHB,257,Your soul enters an external object.  See sourcebook.,,,,,,,,,Wizard
Magic Missile,1,Evocation,,1 action,120 ft.,Any creature in range.,V,S,,,,,Instantaneous,,Force,DAM:(1d4+1)x3,PHB,257,You choose the target for each dart that does 1d4+1 DAM.,One additional dart.,,,,,,Sorceror,,Wizard
Magic Mouth,2,Illusion,Ritual,1 minute,30 ft.,1 object,V,S,M,honeycomb and JADE DUST,10 gp,,Until Dispelled,,,,PHB,257,Magic mouth repeats <= 25 word message once condition is met.,,Bard,,,,,,,Wizard
Magic Weapon,2,Transmutation,,1 bonus action,Touch,1 nonmagical weapon,V,S,,,,Concentration,1 hour,,,,PHB,257,Nonmagical weapon becomes +1.,"4th: +2 weapon,6th: +3",,Cleric(War),,Paladin,,,,Wizard
Major Image,3,Illusion,,1 action,120 ft.,20 ft. cube,V,S,M,bit of fleece,,Concentration,10 minutes,,,,PHB,258,"Create image of object including sounds, smells. Investigation check to foil.",6th: lasts until dispelled,Bard,,,,,Sorceror,Warlock,Wizard
Mass Cure Wounds,5,Conjuration,,1 action,60 ft.,<= 6 creatures,V,S,,,,,Instantaneous,,,See Details.,PHB,258,Creatures HEAL 3d8 + casting ability modifier. No effect on undead/constructs.,HEAL extra 1d8.,Bard,Cleric,Druid,,,,,
Mass Heal,9,Conjuration,,1 action,60 ft.,Any creature in range.,V,S,,,,,Instantaneous,,,See Details.,PHB,258,"Targets HEAL total of 700 HP and cured of diseases, blindness, and deafness.",,,Cleric,,,,,,
Mass Healing Word,3,Evocation,,1 bonus action,60 ft.,<= 6 creatures,V,,,,,,Instantaneous,,,See Details.,PHB,258,Targets HEAL 1d4 + casting ability modifier. No effect on undead/constructs.,HEAL extra 1d4.,,Cleric,,,,,,
Mass Suggestion,6,Enchantment,,1 action,60 ft.,<= 12 creatures,V,,M,"snake's tongue, honeycomb",,,24 hours,WIS (Fail),,,PHB,258,Make creatures accept reasonable sounding suggestions. See Sourcebook.,7th: 10 days;8th:30;9th:366,Bard,,,,,Sorceror,Warlock,Wizard
Maze,8,Conjuration,,1 action,60 ft.,1 creature,V,S,,,,Concentration,10 minutes,See Details,,,PHB,258,Target uses action each turn to make INT check (DC 20) to escape.,,,,,,,,,Wizard
Meld into Stone,3,Transmutation,Ritual,1 action,Touch,Stone object or surface,V,S,,,,,8 hours,,,,PHB,259,Meld into stone walls or large stone objects.  See Sourcebook.,,,Cleric,Druid,,,,,
Melf's Acid Arrow,2,Evocation,,1 action,90 ft.,1 target,V,S,M,"rhubarb leaf, adder's stomach",,,Instantaneous,Ranged Spell Attack,Acid,DAM: 4d4,PHB,259,"Half DAM on miss. On hit, target also takes 2d4 acid DAM at end of next turn.",1d4 DAM on both effects,,,Druid(Swamp),,,,,Wizard
Mending,0,Transmutation,,1 minute,Touch,1 object,V,S,M,two lodestones,,,Instantaneous,,,,PHB,259,Mends one break or tear no larger than 1ft. in a mundane object.,,Bard,Cleric,Druid,,,Sorceror,,Wizard
Message,0,Transmutation,,1 action,120 ft.,1 creature in range,V,S,M,piece of copper wire,,,1 round,,,,PHB,259,Point at target and whisper a message. They can whisper a response.,,Bard,,,,,Sorceror,,Wizard
Meteor Swarm,9,Evocation,,1 action,1 mile,40 ft. radius sphere,V,S,,,,,Instantaneous,DEX (Half DAM),Fire+Bludgeoning,DAM20d6+20d6,PHB,259,Also damages objects and ignites flammable objects.,,,,,,,Sorceror,,Wizard
Mind Blank,8,Abjuration,,1 action,Touch,1 willing creature,V,S,,,,,24 hours,,,,PHB,259,"Target immune to psychic damage, charm, mind reading, divinations.",,Bard,,,,,,,Wizard
Minor Illusion,0,Illusion,,1 action,30 ft.,5 ft. cube,,S,M,bit of fleece,,,1 minute,,,,PHB,260,Create illusory sound or image. Investigation check against spell DC to detect.,,Bard,,,,,Sorceror,Warlock,Wizard
